Label,Text
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,Do you know when the result.
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,It shall be fine. I have avalarr now. Will hollalater
ham,I love u 2 my little pocy bell I am sorry but I love u
ham,They finally came to fix the ceiling.
ham,S.i'm watching it in live..
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,Ok i'm coming home now.
ham,Yes da. Any plm at ur office
ham,Ok i also wan 2 watch e 9 pm show...
ham,Saw Guys and Dolls last night with Patrick Swayze it was great
ham,"Sorry, I can't help you on this."
ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,Hi mom we might be back later than  &lt;#&gt; 
ham,It means u could not keep ur words.
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,Gam gone after outstanding innings.
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,We left already we at orchard now.
ham,Am in gobi arts college
ham,Yup i thk so until e shop closes lor.
ham,Try neva mate!!
ham,5 nights...We nt staying at port step liao...Too ex
ham,"Playin space poker, u?"
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Take some small dose tablet for fever
ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
ham,Ho ho - big belly laugh! See ya tomo
ham,"Just sent you an email – to an address with incomm in it, is that right?"
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
ham,Okay. I've seen it. So i should pick it on friday?
ham,"Probably gonna be here for a while, see you later tonight &lt;)"
ham,"Dear, will call Tmorrow.pls accomodate."
ham,Yeah it's jus rite...
ham,Staff of placement training in Amrita college.
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
ham,"As in missionary hook up, doggy hook up, standing...|"
ham,Jus finish watching tv... U?
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
ham,Happy new years melody!
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
ham,Nt joking seriously i told
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,I cant pick the phone right now. Pls send a message
ham,Love it! The girls at the office may wonder why you are smiling but sore...
ham,Thats cool. How was your day?
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Hanging out with my brother and his family
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
ham,"Its ok, called mom instead have fun"
ham,Thanx but my birthday is over already.
spam,Missed call alert. These numbers called but left no message. 07008009200
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,U 2.
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,Carlos says we can pick up from him later so yeah we're set
ham,I'm at home. Please call
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
ham,Just haven't decided where yet eh ?
ham,"Better than bb. If he wont use it, his wife will or them doctor"
ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
ham,Dad went out oredi... 
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,He is there. You call and meet him
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,Well if I'm that desperate I'll just call armand again
ham,Really good:)dhanush rocks once again:)
ham,Hope you are having a great day.
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,Hey happy birthday...
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,Just sleeping..and surfing
ham,Yeah we do totes. When u wanna?
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,S:-)if we have one good partnership going we will take lead:)
ham,No need for the drug anymore.
ham,Are you this much buzy
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome"
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Ok no prob... I'll come after lunch then...
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,So are you guys asking that i get that slippers again or its gone with last year
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book 
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,Ok i msg u b4 i leave my house.
ham,Great! How is the office today?
ham,"And that's fine, I got enough bud to last most of the night at least"
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
ham,Ü got wat to buy tell us then ü no need to come in again.
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
ham,"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt..."
ham,Have you been practising your curtsey?
ham,Tiwary to rcb.battle between bang and kochi.
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
ham,I'm gonna rip out my uterus.
ham,Just finished. Missing you plenty
ham,"Some friends want me to drive em someplace, probably take a while"
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
ham,I anything lor...
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
